time,class,ymin,lower,middle,upper,ymax,outliers
d.36,1,0.24,0.33,0.40,0.48,0.65,"0.03;0.10;0.13;0.78"
d.36,2,0.47,0.64,0.72,0.81,1.01,""
d.48,1,0.20,0.30,0.36,0.44,0.55,"-0.07;0.03;0.67"
d.48,2,0.46,0.64,0.73,0.84,1.11,""
d.60,1,0.17,0.25,0.32,0.38,0.48,"-0.10;0.00;0.65"
d.60,2,0.40,0.62,0.74,0.82,1.14,"0.21"
