node_id,identifier,node_type,name,human_name
35025120,A0A2R7DUG3,Protein,A0A2R7DUG3_LACRE,A0A2R7DUG3_LACRE
21069153,A0A6N2R1A6,Protein,A0A6N2R1A6_9BACT,A0A6N2R1A6_9BACT
2477167,CHEBI:131620,Compound,C24-steroid,C24-steroid
2487113,CHEBI:35349,Compound,7beta-hydroxy steroid,7Beta-Hydroxy Steroid
26986623,Q12778,Protein,FOXO1_HUMAN,FOXO1
2472241,CHEBI:36843,Compound,7alpha-hydroxy steroid,7Alpha-Hydroxy Steroid
2480799,CHEBI:36851,Compound,6beta-hydroxy steroid,6Beta-Hydroxy Steroid
28004717,WP710,Pathway,DNA damage response only ATM dependent ,DNA damage response only ATM dependent 
27975012,GO:1901135,BiologicalProcess,carbohydrate derivative metabolic process,Carbohydrate Derivative Metabolic Process
27985395,GO:0008202,BiologicalProcess,steroid metabolic process,Steroid Metabolic Process
27977194,GO:0044283,BiologicalProcess,small molecule biosynthetic process,Small Molecule Biosynthetic Process
27982617,GO:0055088,BiologicalProcess,lipid homeostasis,Lipid Homeostasis
28004539,WP4172,Pathway,PI3K Akt signaling pathway,PI3K Akt signaling pathway
23902,D003967,Symptom,Diarrhea,Diarrhea
2497577,10682,Gene,EBP,EBP
27985823,GO:0014070,BiologicalProcess,response to organic cyclic compound,Response To Organic Cyclic Compound
27981673,GO:0009725,BiologicalProcess,response to hormone,Response To Hormone
27976736,GO:0019752,BiologicalProcess,carboxylic acid metabolic process,Carboxylic Acid Metabolic Process
27985636,GO:0009617,BiologicalProcess,response to bacterium,Response To Bacterium
28003016,GO:0002684,BiologicalProcess,positive regulation of immune system process,Positive Regulation Of Immune System Process
27986950,GO:0006066,BiologicalProcess,alcohol metabolic process,Alcohol Metabolic Process
36877,D000138,Symptom,Acidosis,Acidosis
2498028,11284,Gene,PNKP,PNKP
27983774,GO:0042593,BiologicalProcess,glucose homeostasis,Glucose Homeostasis
27982658,GO:0070482,BiologicalProcess,response to oxygen levels,Response To Oxygen Levels
27983345,GO:0033993,BiologicalProcess,response to lipid,Response To Lipid
27981084,GO:0046883,BiologicalProcess,regulation of hormone secretion,Regulation Of Hormone Secretion
27983032,GO:0050796,BiologicalProcess,regulation of insulin secretion,Regulation Of Insulin Secretion
27976114,GO:0007169,BiologicalProcess,transmembrane receptor protein tyrosine kinase signaling pathway,Transmembrane Receptor Protein Tyrosine Kinase Signaling Pathway
2495179,7124,Gene,TNF,TNF
2492125,2778,Gene,GNAS,GNAS
2500942,55324,Gene,ABCF3,ABCF3
2490741,670,Gene,BPHL,BPHL
27982686,GO:0003006,BiologicalProcess,developmental process involved in reproduction,Developmental Process Involved In Reproduction
27980703,GO:0071466,BiologicalProcess,cellular response to xenobiotic stimulus,Cellular Response To Xenobiotic Stimulus
27982687,GO:0009410,BiologicalProcess,response to xenobiotic stimulus,Response To Xenobiotic Stimulus
27979884,GO:0055091,BiologicalProcess,phospholipid homeostasis,Phospholipid Homeostasis
29063648,GO:0018130,BiologicalProcess,heterocycle biosynthetic process,Heterocycle Biosynthetic Process
27985092,GO:0019216,BiologicalProcess,regulation of lipid metabolic process,Regulation Of Lipid Metabolic Process
2490437,229,Gene,ALDOB,ALDOB
27986017,GO:0097306,BiologicalProcess,cellular response to alcohol,Cellular Response To Alcohol
27984808,GO:0019725,BiologicalProcess,cellular homeostasis,Cellular Homeostasis
27981429,GO:0015711,BiologicalProcess,organic anion transport,Organic Anion Transport
27982290,GO:0006820,BiologicalProcess,monoatomic anion transport,Monoatomic Anion Transport
27981923,GO:0019218,BiologicalProcess,regulation of steroid metabolic process,Regulation Of Steroid Metabolic Process
