node_id,node_type,name,subclass,source,hmdb_id,is_metrs,functional_role,highlight,source_set,degree,betweenness,is_compound_hub,is_protein_hub
1803,Gene,DPP4,,,,FALSE,Incretin degradation,FALSE,fig2d,1,0.00000,FALSE,FALSE
54658,Gene,UGT1A1,,,,FALSE,Glucuronidation,TRUE,fig2d,2,0.00000,FALSE,FALSE
54659,Gene,UGT1A3,,,,FALSE,Glucuronidation / Bile acid conjugation,FALSE,fig2d,1,0.00000,FALSE,FALSE
5625,Gene,PRODH,,,,FALSE,Proline/Hydroxyproline catabolism,FALSE,fig2d,2,0.01496,FALSE,FALSE
8659,Gene,ALDH4A1,,,,FALSE,Hydroxyproline catabolism,FALSE,fig2d,2,0.01496,FALSE,FALSE
112817,Gene,HOGA1,,,,FALSE,Hydroxyproline catabolism,FALSE,fig2d,1,0.00000,FALSE,FALSE
5033,Gene,P4HA1,,,,FALSE,Collagen hydroxylation (HIF prolyl-hydroxylase related),FALSE,fig2d,1,0.00000,FALSE,FALSE
54583,Gene,EGLN1,,,,FALSE,HIF prolyl-hydroxylase / Oxygen sensing,FALSE,fig2d,2,0.02367,FALSE,FALSE
1806,Gene,DPYD,,,,FALSE,Pyrimidine catabolism,TRUE,fig2d,2,0.02367,FALSE,FALSE
1807,Gene,DPYS,,,,FALSE,Pyrimidine catabolism,FALSE,fig2d,1,0.00000,FALSE,FALSE
51733,Gene,UPB1,,,,FALSE,Pyrimidine catabolism / beta-alanine,FALSE,fig2d,2,0.01190,FALSE,FALSE
9356,Gene,SLC22A6,,,,FALSE,Organic anion transporter (gut-kidney axis),TRUE,fig2d,2,0.00000,FALSE,FALSE
246,Gene,ALOX15,,,,FALSE,Lipoxygenase / 13-HODE production,FALSE,fig2d,5,0.08123,FALSE,FALSE
247,Gene,ALOX15B,,,,FALSE,Lipoxygenase,FALSE,fig2d,1,0.00000,FALSE,FALSE
240,Gene,ALOX5,,,,FALSE,Lipoxygenase / Eicosanoid synthesis,FALSE,fig2d,1,0.00000,FALSE,FALSE
2879,Gene,GPX4,,,,FALSE,Glutathione peroxidase / Ferroptosis,FALSE,fig2d,2,0.00011,FALSE,FALSE
3952,Gene,LEP,,,,FALSE,Leptin / Energy homeostasis,TRUE,fig2d,7,0.03816,FALSE,FALSE
4852,Gene,NPY,,,,FALSE,Neuropeptide Y / Appetite,FALSE,fig2d,1,0.00000,FALSE,FALSE
9370,Gene,ADIPOQ,,,,FALSE,Adiponectin,TRUE,fig2d,4,0.00533,FALSE,FALSE
7351,Gene,UCP2,,,,FALSE,Uncoupling protein / Thermogenesis,FALSE,fig2d,3,0.02425,FALSE,FALSE
23411,Gene,SIRT1,,,,FALSE,Sirtuin / NAD metabolism,FALSE,fig2d,5,0.01988,FALSE,FALSE
6720,Gene,SREBF1,,,,FALSE,Lipogenesis transcription factor,FALSE,fig2d,3,0.00336,FALSE,FALSE
1050,Gene,CEBPA,,,,FALSE,Adipocyte differentiation,FALSE,fig2d,2,0.01958,FALSE,FALSE
3667,Gene,IRS1,,,,FALSE,Insulin signaling,FALSE,fig2d,3,0.00232,FALSE,FALSE
1268,Gene,CNR1,,,,FALSE,Cannabinoid receptor / Appetite,FALSE,fig2d,1,0.00000,FALSE,FALSE
GO:0070189,BiologicalProcess,"kynurenine
metabolic process",,,,FALSE,,TRUE,fig2d,4,0.00388,FALSE,FALSE
GO:0097052,BiologicalProcess,L-kynurenine metabolic process,,,,FALSE,,FALSE,fig2d,1,0.00000,FALSE,FALSE
GO:0097053,BiologicalProcess,L-kynurenine catabolic process,,,,FALSE,,FALSE,fig2d,2,0.01190,FALSE,FALSE
GO:0019441,BiologicalProcess,tryptophan catabolic process to kynurenine,,,,FALSE,,FALSE,fig2d,4,0.01482,FALSE,FALSE
GO:0006809,BiologicalProcess,"nitric oxide
biosynthetic process",,,,FALSE,,TRUE,fig2d,4,0.02728,FALSE,FALSE
GO:0032000,BiologicalProcess,"positive regulation of
fatty acid beta-oxidation",,,,FALSE,,TRUE,fig2d,3,0.00395,FALSE,FALSE
GO:0046322,BiologicalProcess,negative regulation of fatty acid oxidation,,,,FALSE,,FALSE,fig2d,3,0.01352,FALSE,FALSE
