node_id,node_type,name,subclass,source,hmdb_id,is_metrs,functional_role,highlight,source_set,degree,betweenness,is_compound_hub,is_protein_hub,eigenvector,pagerank,combined_score,is_topology_hub
1374,Gene,CPT1A,,,,FALSE,Fatty acid oxidation,TRUE,fig2d,6,0.04079,FALSE,FALSE,0.08913,0.01197,0.25240,TRUE
5465,Gene,PPARA,,,,FALSE,Lipid metabolism / Nuclear receptor,TRUE,fig2d,10,0.10036,FALSE,FALSE,0.28690,0.01564,0.51435,TRUE
5468,Gene,PPARG,,,,FALSE,Adipogenesis / Nuclear receptor,FALSE,fig2d,9,0.12490,FALSE,FALSE,0.24967,0.01504,0.50610,TRUE
5563,Gene,PRKAA1,,,,FALSE,AMPK / Energy sensing,FALSE,fig2d,4,0.02185,FALSE,FALSE,0.04060,0.00785,0.14425,FALSE
6389,Gene,SDHA,,,,FALSE,TCA cycle / ETC Complex II,FALSE,fig2d,4,0.03550,FALSE,FALSE,0.02002,0.01048,0.14670,FALSE
1581,Gene,CYP7A1,,,,FALSE,Bile acid synthesis,TRUE,fig2d,9,0.06270,FALSE,FALSE,0.18514,0.01703,0.40777,TRUE
9971,Gene,NR1H4,,,,FALSE,Bile acid signaling (FXR),FALSE,fig2d,9,0.06389,FALSE,FALSE,0.24096,0.01593,0.43037,TRUE
9965,Gene,FGF19,,,,FALSE,Bile acid / Enterohepatic signaling,FALSE,fig2d,1,0.00000,FALSE,FALSE,0.01208,0.00266,0.00000,FALSE
2641,Gene,GCG,,,,FALSE,GLP-1 / Glucagon,TRUE,fig2d,6,0.16464,FALSE,FALSE,0.14174,0.01179,0.40019,TRUE
2740,Gene,GLP1R,,,,FALSE,GLP-1 receptor,TRUE,fig2d,2,0.01190,FALSE,FALSE,0.00414,0.00596,0.05494,FALSE
1803,Gene,DPP4,,,,FALSE,Incretin degradation,FALSE,fig2d,1,0.00000,FALSE,FALSE,0.00012,0.00325,0.00000,FALSE
54658,Gene,UGT1A1,,,,FALSE,Glucuronidation,TRUE,fig2d,2,0.00000,FALSE,FALSE,0.00100,0.00468,0.00000,FALSE
54659,Gene,UGT1A3,,,,FALSE,Glucuronidation / Bile acid conjugation,FALSE,fig2d,1,0.00000,FALSE,FALSE,0.00073,0.00279,0.00000,FALSE
5625,Gene,PRODH,,,,FALSE,Proline/Hydroxyproline catabolism,FALSE,fig2d,2,0.01496,FALSE,FALSE,0.00095,0.00479,0.03818,FALSE
8659,Gene,ALDH4A1,,,,FALSE,Hydroxyproline catabolism,FALSE,fig2d,2,0.01496,FALSE,FALSE,0.00095,0.00479,0.03818,FALSE
112817,Gene,HOGA1,,,,FALSE,Hydroxyproline catabolism,FALSE,fig2d,1,0.00000,FALSE,FALSE,0.00006,0.00289,0.00000,FALSE
5033,Gene,P4HA1,,,,FALSE,Collagen hydroxylation (HIF prolyl-hydroxylase related),FALSE,fig2d,1,0.00000,FALSE,FALSE,0.00003,0.00351,0.00000,FALSE
54583,Gene,EGLN1,,,,FALSE,HIF prolyl-hydroxylase / Oxygen sensing,FALSE,fig2d,2,0.02367,FALSE,FALSE,0.00092,0.00541,0.04369,FALSE
1806,Gene,DPYD,,,,FALSE,Pyrimidine catabolism,TRUE,fig2d,2,0.02367,FALSE,FALSE,0.00121,0.00565,0.04737,FALSE
